Campus,Year,Session,Subject,Course,Section,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,85-89.1,90-100.1
UBCO,2021.0,W,ECON,232.0,1,38.0,74.02631579,19.76139677,99.0,7.0,2.0,3.0,0.0,3.0,0.0,2.0,6.0,7.0,4.0,4.0,7.0,,
UBCO,2021.0,W,ECON,232.0,OVERALL,38.0,74.02631579,19.76139677,99.0,7.0,2.0,3.0,0.0,3.0,0.0,2.0,6.0,7.0,4.0,4.0,7.0,,
UBCO,2021.0,W,ECON,295.0,1,52.0,61.51923077,11.58513311,84.0,35.0,5.0,8.0,10.0,6.0,4.0,9.0,6.0,0.0,4.0,0.0,0.0,14.0,11.0
UBCO,2021.0,W,ECON,295.0,OVERALL,52.0,61.51923077,11.58513311,84.0,35.0,5.0,8.0,10.0,6.0,4.0,9.0,6.0,0.0,4.0,0.0,0.0,,
UBCO,2021.0,W,ECON,308.0,101,28.0,63.71428571,21.20596901,99.0,0.0,3.0,6.0,3.0,3.0,3.0,0.0,2.0,1.0,1.0,4.0,2.0,14.0,11.0
UBCO,2021.0,W,ECON,308.0,OVERALL,28.0,63.71428571,21.20596901,99.0,0.0,3.0,6.0,3.0,3.0,3.0,0.0,2.0,1.0,1.0,4.0,2.0,,17.0
UBCO,2021.0,W,ECON,320.0,101,38.0,85.15789474,9.911844718,100.0,65.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,6.0,7.0,15.0,29.0,52.0
UBCO,2021.0,W,ECON,320.0,OVERALL,38.0,85.15789474,9.911844718,100.0,65.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,6.0,7.0,15.0,10.0,20.0
UBCO,2021.0,W,ECON,327.0,1,64.0,63.1875,15.53069158,97.0,24.0,9.0,10.0,9.0,5.0,5.0,8.0,6.0,2.0,3.0,3.0,4.0,,
UBCO,2021.0,W,ECON,327.0,OVERALL,64.0,63.1875,15.53069158,97.0,24.0,9.0,10.0,9.0,5.0,5.0,8.0,6.0,2.0,3.0,3.0,4.0,7.0,
UBCO,2021.0,W,ECON,328.0,101,47.0,77.10638298,10.85123524,98.0,53.0,0.0,1.0,3.0,1.0,5.0,4.0,2.0,13.0,5.0,7.0,6.0,,
UBCO,2021.0,W,ECON,328.0,OVERALL,47.0,77.10638298,10.85123524,98.0,53.0,0.0,1.0,3.0,1.0,5.0,4.0,2.0,13.0,5.0,7.0,6.0,6.0,8.0
UBCO,2021.0,W,ECON,331.0,101,49.0,68.81632653,10.98611523,91.0,43.0,3.0,3.0,3.0,4.0,6.0,8.0,9.0,6.0,4.0,2.0,1.0,9.0,
UBCO,2021.0,W,ECON,331.0,OVERALL,49.0,68.81632653,10.98611523,91.0,43.0,3.0,3.0,3.0,4.0,6.0,8.0,9.0,6.0,4.0,2.0,1.0,10.0,11.0
UBCO,2021.0,W,ECON,339.0,1,28.0,64.85714286,22.00120247,88.0,0.0,5.0,1.0,2.0,0.0,5.0,2.0,4.0,0.0,7.0,2.0,0.0,,
UBCO,2021.0,W,ECON,339.0,OVERALL,28.0,64.85714286,22.00120247,88.0,0.0,5.0,1.0,2.0,0.0,5.0,2.0,4.0,0.0,7.0,2.0,0.0,,
UBCO,2021.0,W,ECON,340.0,1,36.0,71.11111111,13.31331831,93.0,42.0,3.0,3.0,0.0,1.0,5.0,5.0,4.0,6.0,4.0,2.0,3.0,6.0,
